55.48,55.296,54.48,53.897,53.689,53.626,54.442,55.585,55.367,55.418,,,,,,,,,,,
-12.70621159,-10.74815189,-10.22680028,-9.525359049,-6.296459403,-3.125536754,-2.159287383,0,1.085627007,5.672219054,,,,,,,,,,,
,T1,L,D1L,,D1L,L,T1,J,R,,,,,,,,,,,
55.149,55.273,54.973,54.521,53.766,53.694,53.659,54.436,54.971,55.029,55.101,55.044,,,,,,,,,
-6.10874537,0,0.617119924,1.33650664,2.138471416,5.672596055,8.633119598,9.37222759,9.493484503,14.11926464,17.34888541,18.84189486,,,,,,,,,
,,T1,L,D1L,,D1L,L,T1,J,J,R,,,,,,,,,
55.018,55.086,54.48,53.834,53.689,53.692,54.461,54.974,54.986,54.88,54.94,,,,,,,,,,
-12.61856101,-9.905320186,-9.152738825,-8.375585711,-4.798975307,-1.896173515,-1.221321415,-1.038058283,0,3.846052132,7.907991464,,,,,,,,,,
,T1,L,D1L,,D1L,L,T1,,J,J,,,,,,,,,,
54.86,54.515,53.713,53.651,53.693,54.518,54.739,54.877,54.903,55.124,,,,,,,,,,,
-15.91678988,-12.29528828,-11.23797927,-8.510206402,-5.177213536,-4.296939027,-3.446278282,0,2.740292685,7.407198188,,,,,,,,,,,
T1,L,D1L,,D1L,L,T1,,J,,,,,,,,,,,,
54.863,54.426,53.459,53.439,53.506,54.455,54.464,54.838,54.844,54.782,,,,,,,,,,,
-13.79446048,-9.573473612,-8.758373879,-5.560593494,-2.530650707,-1.552289921,-1.456313153,0,1.575859131,5.048001585,,,,,,,,,,,
T1,L,D1L,,D1L,L,T1,,J,J,,,,,,,,,,,
