Id,Name,Description,X,Y,Z
8,P.11,T1L,612630.19942467229,9141736.7108826,58.221
9,P.11,,612631.39277321415,9141737.35271144,58.276
10,P.11,,612632.82743356435,9141738.12432707,58.278
11,P.11,,612633.842,9141738.67,58.305
12,P.11,J,612636.2471917842,9141739.96360484,58.43
13,P.11,J,612639.52956079924,9141741.7289894,58.431
14,P.11,,612642.53274790454,9141743.34421917,58.267
15,P.11,,612720.16469422553,9141785.0976718962,58.267
0,P.12,,612534.68684028252,9141738.61153134,58.098
1,P.12,J,612539.78718210419,9141741.5051466059,58.335
2,P.12,J,612542.94271418627,9141743.2953983415,58.334
3,P.12,,612544.86230054381,9141744.3844516985,57.975
4,P.12,,612547.20285645139,9141745.7123368755,57.812
5,P.12,T1L,612548.761487513,9141746.5966067519,57.792
6,P.12,D1L,612549.92785149359,9141747.2583287973,54.985
7,P.12,D1L,612587.95949311985,9141768.8351059258,54.942
8,P.12,T1L,612588.17954538472,9141768.95994983,57.765
9,P.12,,612588.367416093,9141769.0665359311,57.889
10,P.12,,612588.45178395731,9141769.1144009866,58.106
11,P.12,,612588.30653206713,9141769.03199414,58.227
12,P.12,,612610.23,9141781.47,58.387
13,P.12,J,612632.849285371,9141794.302769199,58.221
14,P.12,J,612633.743410779,9141794.8100400884,58.189
15,P.12,,612691.05180475768,9141827.323242031,58.189
0,P.13,,612525.4537628988,9141762.44551275,58.098
1,P.13,J,612530.80784186861,9141765.4592437223,58.335
2,P.13,J,612534.13932687859,9141767.3344868086,58.334
3,P.13,,612536.17586375226,9141768.4808229543,57.975
4,P.13,,612538.66815962689,9141769.8836990278,57.812
5,P.13,T1L,612540.33520928014,9141770.8220563438,57.792
6,P.13,D1L,612541.585714378,9141771.52594696,54.985
7,P.13,D1L,612593.13876740087,9141800.5443894584,54.942
8,P.13,T1L,612594.29602926155,9141801.19579485,57.765
9,P.13,,612595.70774930238,9141801.9904309474,57.889
10,P.13,,612597.631,9141803.073,58.082
11,P.13,,612598.58173244738,9141803.608153075,58.106
12,P.13,J,612600.22873916163,9141804.5352285225,58.227
13,P.13,J,612603.70139617578,9141806.4899352174,58.221
14,P.13,J,612606.43159302021,9141808.0267221872,58.189
15,P.13,,612678.6070872572,9141848.6532284059,58.189
0,P.14,,612511.38229477638,9141784.125401048,58.484
1,P.14,J,612517.98149211821,9141787.7310902253,58.647
2,P.14,J,612521.64000989986,9141789.7300421111,58.647
3,P.14,,612523.78650414164,9141790.9028500523,58.158
4,P.14,,612526.35597885132,9141792.3067673277,58.046
5,P.14,T1L,612527.54857315822,9141792.9583805725,57.993
6,P.14,D1L,612528.76924915588,9141793.6253371742,55.17
7,P.14,D1L,612580.96345930186,9141822.1433657911,55.12
8,P.14,T1L,612581.94544092764,9141822.6799038481,58.001
9,P.14,,612583.58821984031,9141823.5774903037,58.111
10,P.14,,612585.833,9141824.804,58.329
11,P.14,,612587.00716569729,9141825.4455441646,58.368
12,P.14,J,612587.99177998153,9141825.98352066,58.486
13,P.14,J,612591.786318453,9141828.0567919388,58.486
